"PRODUCT BRANDS","Divisions","Vertical","Customer Name","Customer Type","Manufacturer by","Bill No","Bill Date","Item Code","Item Name","MRP","selling","Qty in CLD","Qty in PCs","Taxable Amount","GST Perc","Item Net Amount","SD MARGIN","SD MARGIN VALUE"
"PULSES","FOOD","RICE/PULSES/SPICES","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","150000720","MOONG SABUT 500 GM (R1)","-80","-65.29","-1","-20","-1240.51","-5","-1302.54","2%","-24.8102"
"ATTA","FOOD","FLOUR & SUGAR","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","150000812","TRADITIONAL W.W CHAKKI ATTA W.BRAN 2K-T","-120","-87.9","-2","-30","-2637","-5","-2768.85","2%","-52.74"
"ATTA","FOOD","FLOUR & SUGAR","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","150000813","TRADITIONAL W.W CHAKKI ATTA W.BRAN 1K-T","-63","-46.15","-1","-30","-1384.5","-5","-1453.73","2%","-27.69"
"ATTA","FOOD","FLOUR & SUGAR","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","150000815","TRAD. W.W CHAKKI ATTA W.BRAN 5K-T (6Pc)","-290","-212.42","-6","-36","-7647.12","-5","-8029.48","2%","-152.9424"
"GHEE","FOOD","PHYSICAL OIL & GHEE","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","150001077","COWS GHEE 5 LTR - T","-3843","-3379.19","-2","-8","-27033.52","-5","-28385.2","2%","-540.6704"
"MAIDA","FOOD","FLOUR & SUGAR","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","180002780","MAIDA 1 KG","-75","-61.21","-2","-20","-1126.27","-5","-1182.58","2%","-22.5254"
"HONEY","FOOD","JUICES & NATURAL BEVERAGES","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","180002849","HONEY 250 G","-110","-83.78","-1","-40","-2848.5","-5","-2990.93","2%","-56.97"
"SPICES","FOOD","RICE/PULSES/SPICES","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","180002863","TURMERIC POWDER 200 GM","-82","-56.14","-0.4","-12","-606.31","-5","-636.62","2%","-12.1262"
"SPICES","FOOD","RICE/PULSES/SPICES","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","180002865","CORIANDER POWDER 200 GM","-90","-61.62","-0.4","-12","-665.5","-5","-698.77","2%","-13.31"
"SPICES","FOOD","RICE/PULSES/SPICES","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","180002888","FENUGREEK SEED 100 GM (30 pcs)","-30","-20.54","-0.33333","-10","-184.86","-5","-194.1","2%","-3.6972"
"MADHURAM","FOOD","FLOUR & SUGAR","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","180002928","MADHURAM 1 KG","-100","-85.58","-1","-30","-2439.02","-5","-2560.97","2%","-48.7804"
"SUGAR","FOOD","FLOUR & SUGAR","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","180002935","SUGAR 1 KG","-70","-61.55","-3","-90","-5539.5","-5","-5816.48","2%","-110.79"
"GHEE","FOOD","PHYSICAL OIL & GHEE","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","180002957","COWS GHEE 200 ML","-178","-156.52","-0.41667","-25","-3913","-5","-4108.65","2%","-78.26"
"DALIA","FOOD","FLOUR & SUGAR","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","180002974","DALIA 500 G","-35","-28.43","-2","-60","-1671.68","-5","-1755.26","2%","-33.4336"
"SPICES","FOOD","RICE/PULSES/SPICES","SS MARKET","ak","PATANJALI FOOD LIMITED","CN48AAA2627","06/06/2026","180025970","TURMERIC POWDER 100 GM","-42","-28.76","-0.2","-12","-345.12","-5","-362.38","2%","-6.9024"
