division,vertical,brand,Item Code,Item Name,mrp,costprice,Net Cost,AVAILABLE STOCK,AVAILABLE STOCK IN CLD,EXP Date,batch,MFG Date,barcode,dcode,PURCHASE ORDER STATUS,Days From Manufacture,Days To Expire,Conversion Factor,warehouse,baseunit,district,status
NON FOOD,NATURAL PERSONAL CARE,HAIR CONDITIONER,1099,HAIR CONDITIONER ALMOND 100 G,60,43.16,50.93,145,1.51,03/07/2026,AIA2400004,03/07/2024,8904109451706,180026118,BLOCKED,721,8,96,Main Warehouse,PCS,Chennai,ACTIVE
FOOD,RICE/PULSES/SPICES,PAPAD,150000713,PAPAD KALI MIRCH - T,60,49.31,49.31,0,0,07/11/2026,PKP-26/013,11/05/2026,8904109443084,150000713,UNBLOCKED,44,135,30,Main Warehouse,PCS,Chennai,ACTIVE
FOOD,RICE/PULSES/SPICES,PULSES,150000718,CHANA DAL 500 GM (R1),65,51,53.55,60,3,18/01/2027,BPRCD26009,23/04/2026,8904109474019,150000718,UNBLOCKED,62,207,20,Main Warehouse,PCS,Chennai,ACTIVE
FOOD,RICE/PULSES/SPICES,PULSES,150000719,CHANA DAL 1000 GM (R1),128,100.43,105.45,20,2,18/01/2027,BPRCD26008,23/04/2026,8904109474101,150000719,UNBLOCKED,62,207,10,Main Warehouse,PCS,Chennai,ACTIVE
FOOD,RICE/PULSES/SPICES,PULSES,150000720,MOONG SABUT 500 GM (R1),80,62.78,65.92,4,0.2,19/02/2027,BPRMS26010,25/05/2026,8904109474071,150000720,UNBLOCKED,30,239,20,Main Warehouse,PCS,Chennai,ACTIVE
FOOD,RICE/PULSES/SPICES,PULSES,150000722,MOONG CHILKA 500 GM (R1),84,65.91,69.21,50,2.5,19/01/2027,BPRMC26006,24/04/2026,8904109474057,150000722,UNBLOCKED,61,208,20,Main Warehouse,PCS,Chennai,ACTIVE
FOOD,RICE/PULSES/SPICES,PULSES,150000723,MOONG CHILKA 1000 GM (R1),166,130.26,136.77,0,0,19/01/2027,BPRMC26006,24/04/2026,8904109474149,150000723,UNBLOCKED,61,208,10,Main Warehouse,PCS,Chennai,ACTIVE
FOOD,RICE/PULSES/SPICES,PULSES,150000724,MOONG DHULI 500 GM (R1),90,70.63,74.16,20,1,29/01/2027,BPRMD26010,04/05/2026,8904109474064,150000724,UNBLOCKED,51,218,20,Main Warehouse,PCS,Chennai,ACTIVE
FOOD,RICE/PULSES/SPICES,PULSES,150000725,MOONG DHULI 1000 GM (R1),178,139.67,146.65,32,3.2,29/01/2027,BPRMD26010,04/05/2026,8904109474156,150000725,UNBLOCKED,51,218,10,Main Warehouse,PCS,Chennai,ACTIVE
FOOD,RICE/PULSES/SPICES,PULSES,150000726,TUVAR DAL 500 GM (R1),91,71.4,74.97,80,4,26/01/2027,BPRAD26008,01/05/2026,8904109474033,150000726,UNBLOCKED,54,215,20,Main Warehouse,PCS,Chennai,ACTIVE
