Item Code,Item Name,District,Conversion Factor,Total Qty (CLD),Total Qty (PCs),Avg Qty / Transaction,Total Revenue,Avg Revenue / Transaction,Status
1099,HAIR CONDITIONER ALMOND 100 G,Chennai,96.0,-0.06,-6.0,-6.0,-305.57,-305.57,Active Sales
150000713,PAPAD KALI MIRCH - T,Chennai,30.0,4.2,126.0,10.5,6165.06,513.75,Active Sales
150000718,CHANA DAL 500 GM (R1),Chennai,20.0,6.35,127.0,15.88,6683.95,835.49,Active Sales
150000719,CHANA DAL 1000 GM (R1),Chennai,10.0,6.7,67.0,11.17,6981.33,1163.56,Active Sales
150000720,MOONG SABUT 500 GM (R1),Chennai,20.0,5.7,114.0,9.5,7415.5,617.96,Active Sales
150000722,MOONG CHILKA 500 GM (R1),Chennai,20.0,4.5,90.0,18.0,6151.05,1230.21,Active Sales
150000723,MOONG CHILKA 1000 GM (R1),Chennai,10.0,6.0,60.0,12.0,8050.17,1610.03,Active Sales
150000724,MOONG DHULI 500 GM (R1),Chennai,20.0,7.0,140.0,20.0,10203.58,1457.65,Active Sales
150000725,MOONG DHULI 1000 GM (R1),Chennai,10.0,7.0,70.0,7.78,10221.07,1135.67,Active Sales
150000726,TUVAR DAL 500 GM (R1),Chennai,20.0,14.75,295.0,21.07,21930.88,1566.49,Active Sales
150000727,TUVAR DAL 1000 GM (R1),Chennai,10.0,15.0,150.0,8.33,21660.46,1203.36,Active Sales
150000730,KALA CHANA 500 GM (R1),Chennai,20.0,3.5,70.0,7.78,3602.45,400.27,Active Sales
150000731,KALA CHANA 1000 GM (R1),Chennai,10.0,1.5,15.0,7.5,1514.21,757.11,Active Sales
150000732,RAJMA 500 GM (R1),Chennai,20.0,2.5,50.0,12.5,4200.72,1050.18,Active Sales
150000734,KABULI CHANA 500 GM (R1),Chennai,20.0,6.0,120.0,17.14,7293.69,1041.96,Active Sales
150000735,KABULI CHANA 1000 GM (R1),Chennai,10.0,3.5,35.0,8.75,4216.73,1054.18,Active Sales
150000736,MIX DAL 500 GM (R1),Chennai,20.0,10.9,218.0,19.82,13333.22,1212.11,Active Sales
150000752,BLACK MASOOR 500 GM (R1),Chennai,20.0,1.5,30.0,7.5,1634.48,408.62,Active Sales
150000757,BLACK MASOOR 1000 GM (R1),Chennai,10.0,1.0,10.0,10.0,1074.5,1074.5,Active Sales
150000759,URAD DHULI 1000 GM (R1),Chennai,10.0,2.0,20.0,10.0,3106.17,1553.09,Active Sales
150000766,ROASTED COCONUT OIL 1 LTR.(P) - T,Chennai,12.0,2.17,26.0,3.25,10907.99,1363.5,Active Sales
150000767,ROASTED COCONUT OIL 500 ML (P) - T,Chennai,18.0,0.33,6.0,2.0,1266.99,422.33,Active Sales
150000779,POHA 500 GM -T,Chennai,40.0,10.5,420.0,52.5,16042.03,2005.25,Active Sales
150000780,POHA 1 KG -T,Chennai,20.0,20.0,400.0,25.0,28963.87,1810.24,Active Sales
