Item Code,Item Name,Division,Vertical,Brand
150001084,CHOCOLIOUS-CHOCO FILL PILLOW - 125 GM-T,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,BREAKFAST CEREALS
150001085,CHOCOLIOUS-CHOCO FILL PILLOW - 250 GM-T,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,BREAKFAST CEREALS
150001108,TOMATO OATS 200GM - T,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,BREAKFAST CEREALS
150001244,JEERA BISCUIT 70 GM - T,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,BISCUITS
150001439,PATANJALI RICE BRAN OIL 5 L JAR-T,FOOD,PHYSICAL OIL & GHEE,RICE BRAN OIL
150001589,VERMICELLI PLAIN 90GM -T,FOOD,FLOUR & SUGAR,VERMICELLI
150001590,VERMICELLI ROASTED 85GM -T,FOOD,FLOUR & SUGAR,VERMICELLI
150001604,BANDHANI HING 10 G (JAR) - T,FOOD,RICE/PULSES/SPICES,HING
150001683,HERBAL WASH+ DETERGENT POWDER Rs10 CO.-T,NON FOOD,HOME CARE,DETERGENT POWDER
150001696,TOOTHBRUSH (NORMAL) -T,NON FOOD,DENTAL CARE,TOOTHBRUSH
150001779,ORGANIC VIRGIN COCONUT OIL-300ML(JAR)-T,FOOD,PHYSICAL OIL & GHEE,VIRGIN COCONUT OIL
150002591,STRONG HING  25 G - T,FOOD,RICE/PULSES/SPICES,HING
150002592,STRONG HING  50 G - T,FOOD,RICE/PULSES/SPICES,HING
150002603,DUBAR RICE (12*1KG) FREE WITH HONEY 1KG,FOOD,RICE/PULSES/SPICES,RICE
180002090,PAT NUTRELA IRON COMPLEX NATURAL CAPSULE,Nutraceuticals,Medical Nutrition,Patanjali Nutrela
180002702,HARAD MURABBA 1 KG,FOOD,JUICES & NATURAL BEVERAGES,MURRABBA & CANDY
180002719,TOMATO KETCHUP W/O ONION GARLIC-1 KG (B),BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,KETCHUP
180002733,BEL CANDY (FSSAI) 500 GM,FOOD,JUICES & NATURAL BEVERAGES,MURRABBA & CANDY
180002815,MUSLI PAK 200 G,FOOD,JUICES & NATURAL BEVERAGES,MUSLI PAK
180002826,CHYAVANPRASH JAGGERY (GUR) 750 GM,FOOD,JUICES & NATURAL BEVERAGES,CHYAWANPRASH
