Item Code,Item Name,Division,Vertical,Brand,District
150001084,CHOCOLIOUS-CHOCO FILL PILLOW - 125 GM-T,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,BREAKFAST CEREALS,Chennai
150001085,CHOCOLIOUS-CHOCO FILL PILLOW - 250 GM-T,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,BREAKFAST CEREALS,Chennai
150001108,TOMATO OATS 200GM - T,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,BREAKFAST CEREALS,Chennai
150001244,JEERA BISCUIT 70 GM - T,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,BISCUITS,Chennai
150001439,PATANJALI RICE BRAN OIL 5 L JAR-T,FOOD,PHYSICAL OIL & GHEE,RICE BRAN OIL,Chennai
150001589,VERMICELLI PLAIN 90GM -T,FOOD,FLOUR & SUGAR,VERMICELLI,Chennai
150001590,VERMICELLI ROASTED 85GM -T,FOOD,FLOUR & SUGAR,VERMICELLI,Chennai
150001604,BANDHANI HING 10 G (JAR) - T,FOOD,RICE/PULSES/SPICES,HING,Chennai
150001683,HERBAL WASH+ DETERGENT POWDER Rs10 CO.-T,NON FOOD,HOME CARE,DETERGENT POWDER,Chennai
150001696,TOOTHBRUSH (NORMAL) -T,NON FOOD,DENTAL CARE,TOOTHBRUSH,Chennai
150001779,ORGANIC VIRGIN COCONUT OIL-300ML(JAR)-T,FOOD,PHYSICAL OIL & GHEE,VIRGIN COCONUT OIL,Chennai
150002591,STRONG HING  25 G - T,FOOD,RICE/PULSES/SPICES,HING,Chennai
150002592,STRONG HING  50 G - T,FOOD,RICE/PULSES/SPICES,HING,Chennai
150002603,DUBAR RICE (12*1KG) FREE WITH HONEY 1KG,FOOD,RICE/PULSES/SPICES,RICE,Chennai
180002090,PAT NUTRELA IRON COMPLEX NATURAL CAPSULE,Nutraceuticals,Medical Nutrition,Patanjali Nutrela,Chennai
180002702,HARAD MURABBA 1 KG,FOOD,JUICES & NATURAL BEVERAGES,MURRABBA & CANDY,Chennai
180002719,TOMATO KETCHUP W/O ONION GARLIC-1 KG (B),BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,KETCHUP,Chennai
180002733,BEL CANDY (FSSAI) 500 GM,FOOD,JUICES & NATURAL BEVERAGES,MURRABBA & CANDY,Chennai
180002815,MUSLI PAK 200 G,FOOD,JUICES & NATURAL BEVERAGES,MUSLI PAK,Chennai
180002826,CHYAVANPRASH JAGGERY (GUR) 750 GM,FOOD,JUICES & NATURAL BEVERAGES,CHYAWANPRASH,Chennai
180002885,CHHOLE MASALA 100 GM (30 pcs),FOOD,RICE/PULSES/SPICES,SPICES,Chennai
180008907,PATANJALI WHITE VINEGAR SAUCE  170ML,FOOD,EXCLUSIVE RETAIL,SAUCE,Chennai
180022384,PATANJALI BALPRASH-500G,FOOD,JUICES & NATURAL BEVERAGES,CHYAWANPRASH,Chennai
180022519,MIX DRY FRUITS WITH BERRIES & SEED 250 G,FOOD,EXCLUSIVE RETAIL,DRY FRUITS,Chennai
180025948,PAT. NUTRELA MORINGA TABLETS-60 NOS,Nutraceuticals,General Nutrition,Patanjali Nutrela,Chennai
180026005,PATANJALI DATES ALMOND SPREAD 180G,FOOD,FLOUR & SUGAR,DRY FRUITS,Chennai
180026086,ORANGE ALOE CHUNK DRINK – 200ML,FOOD,JUICES & NATURAL BEVERAGES,FRUIT JUICE & DRINKS,Chennai
180026087,PINEAPPLE ALOE CHUNK DRINK – 200ML,FOOD,JUICES & NATURAL BEVERAGES,FRUIT JUICE & DRINKS,Chennai
180026088,POMEGRANATE ALOE CHUNK DRINK - 200ML,FOOD,JUICES & NATURAL BEVERAGES,FRUIT JUICE & DRINKS,Chennai
180026136,SWARNA KANTI CREAM-50 G,NON FOOD,SKIN CARE,SKIN CARE,Chennai
180026138,ANTI AGING CREAM-50 G,NON FOOD,SKIN CARE,SKIN CARE,Chennai
180026208,KESH KANTI SARSON AMLA HAIR OIL 175 ML,NON FOOD,HAIR CARE,HAIR OIL,Chennai
180026221,HALDI CHANDAN KNTI BODY CLNSR.4x45Gx54U,NON FOOD,SKIN CARE,BODY CLEANSER,Chennai
180026262,DANT KANTI FRESH ACTIVE GELTP.-45G T.O,NON FOOD,DENTAL CARE,DANT KANTI,Chennai
180026293,UV-PRO ADV.SUN DEFNS CREAM-50G SPF-50T.O,NON FOOD,SKIN CARE,SKIN CARE,Chennai
180026300,HALDI CHANDAN KANTI BODY CL45G-T.O 48SAC,NON FOOD,SKIN CARE,BODY CLEANSER,Chennai
180026369,BOROSAFE ANTISEPTIC 50 GM CREAM,NON FOOD,SKIN CARE,SKIN CARE,Chennai
180026373,KESH KANTI HAIR CLNSR SILK & SHINE 450ML,NON FOOD,HAIR CARE,KESH KANTI SHAMPOO,Chennai
180026395,SAUNDARYA HONEY-KESAR BODY CLEANSER-125G,NON FOOD,SKIN CARE,BODY CLEANSER,Chennai
180026407,SAUNDARYA HONEY KESAR BC.-125G B3G1 FREE,NON FOOD,SKIN CARE,BODY CLEANSER,Chennai
180026440,TURMERIC CHARCOAL BATHING BAR 125G(B3G1),NON FOOD,SKIN CARE,BODY CLEANSER,Chennai
180026709,SUPER DISHWASH BAR-70 G FREE PACK,NON FOOD,HOME CARE,DISHWASH,Chennai
180030899,PAT CHOLESTEROL CARE LIQUID-500ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICATED JUICE,Chennai
180030900,PAT ORTHOCARE LIQUID-500ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICATED JUICE,Chennai
180031047,GOND KATIRA 100GM,FOOD,Other,OTHERS,Chennai
180031120,SAUNDARYA ALOEVERA GEL 100ML,NON FOOD,Skin Care,ALOEVERA GEL,Chennai
180031137,GARLIC PICKLE 200G,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,PICKLE,Chennai
180031138,LEMON PICKLE 200G,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,PICKLE,Chennai
3053,Divya Madhukalp Vati 80 Tab,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
3061,Mulethi Kwath 100 Gm,PHARMACY,MEDICINES,ASAV & KWATH,Chennai
3081,Divya Vrikkdoshhar Vati 40 Tab,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
70394,AASTHA AGARBATTI TATHASTU - 18 STICK,AASTHA DIVISION,AGARBATTI,AGAR-18 STICK,Chennai
70659,SAUNDARYA NOURISHING CREAM 50 G,NON FOOD,NATURAL PERSONAL CARE,SKIN CARE,Chennai
73605,AASTHA ROYAL BLACK PEARL AGARBATTI- 16 G,AASTHA DIVISION,AGARBATTI,AGAR-ROYAL-16,Chennai
73760,AASTHA GANGAJAL -100 ML,AASTHA DIVISION,OTHERS,GANGAJAL,Chennai
73983,SAUNDARYA EYE LINER PEN 1.2 ML,NON FOOD,EXCLUSIVE RETAIL,EYE LINER,Chennai
73994,AASTHA RED ROSE DHOOP -20 N,AASTHA DIVISION,DHOOP,20 STICK-WET,Chennai
73995,AASTHA MYSORE SANDAL DHOOP -20 N,AASTHA DIVISION,DHOOP,20 STICK-WET,Chennai
74099,AASTHA PINEAPPLE DHOOP -20 N,AASTHA DIVISION,DHOOP,20 STICK-WET,Chennai
74128,AASTHA KESAR CHANDAN GEELA TIKA - 60 G,AASTHA DIVISION,POOJA SAMAGRI,GEELA TIKA,Chennai
74129,AASTHA LAL CHANDAN GEELA TIKA - 60 G,AASTHA DIVISION,POOJA SAMAGRI,GEELA TIKA,Chennai
74140,ROSE FACIAL TONER MIST-100 ML,NON FOOD,NATURAL PERSONAL CARE,TONER,Chennai
74147,AASTHA ASHTAGANDHA -25 GM,AASTHA DIVISION,POOJA SAMAGRI,ASHTAGANDHA,Chennai
74268,AASTHA HANDMADE AGARBATTI ADI KEDAR-50N,AASTHA DIVISION,AGARBATTI,HANDMADE-50N,Chennai
74270,AASTHA HANDMADE AGARBATTI KRISHNA-50N,AASTHA DIVISION,AGARBATTI,HANDMADE-50N,Chennai
74277,AASTHA BACKFLOW DHOOP CONE LOBAN-160 GM,AASTHA DIVISION,DRY DHOOP,BACKFLOW-160 GM,Chennai
74517,AASTHA BACKFLOW DHOOPCONE VRINDAVAN-160G,AASTHA DIVISION,DRY DHOOP,BACKFLOW-160 GM,Chennai
80551,Haridra Khand 100 Gm,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
80557,Kaishore Guggul 40 Tab,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
80566,Divya Peedantak Vati 40 Tab,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
80568,Divya Swasari Ras 10 Gm,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81441,Akik Pishti 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81461,Divya Ashmarihar Ras 50 Gm,PHARMACY,MEDICINES,Churna,Chennai
81469,Divya Peedantak Kwath 100 Gm,PHARMACY,MEDICINES,ASAV & KWATH,Chennai
81470,Divya Peedantak Vati 80 Tab,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
81476,Ekangveer Ras 10 Gm,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81483,Hazrulyahud Bhasma 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81484,Heerak Bhasma (300mg) 0.3 Gm,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81485,Jaharmohra Pishti 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81491,Kanchnar Guggul 80 Tab,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
81492,Kapardak Bhasma 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81494,DIVYA KAHARAVA PISHTI- 5GM,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81498,Kumar Kalyan Ras 1 Gm,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81502,Lakshadi Guggul 40 Tab,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
81503,Lauh Bhasma 5 Gm,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81504,Lavangadi Vati 80 Tab,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
81511,Mahavat Vidhvansan Ras 10 Gm,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81522,Shila Sindoor Ras 1 Gm,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81532,NAVAYAS LAUH 10 GM,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
81540,PANCHAMRIT PARPATI 5GM,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
